sep=,
poids,(x-a^0)(x-a^1),(x-a^1)(x-a^2),(x-a^2)(x-a^3),(x-a^3)(x-a^4),(x-a^4)(x-a^5),(x-a^5)(x-a^6),(x-a^6)(x-a^7),a^(0),a^(1),a^(2),a^(3),a^(4),a^(5),a^(6)
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,245,245,245,245,245,245,245,245,245,245,245,245,245,245
4,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225,1225
5,5586,5586,5586,5586,5586,5586,5586,5586,5586,5586,5586,5586,5586,5586
6,12838,12838,12838,12838,12838,12838,12838,12838,12838,12838,12838,12838,12838,12838
7,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873,12873
